"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.760350113645147e-04, 1.734387141375902e-02, 5.298320651514694e-03, 3.794564371755931e+01, 3.087826577565320e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760752180901321e-04, 1.733414229445866e-02, 5.299532335196719e-03, 3.795629084867742e+01, 3.088321578464727e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755827413331e-04, 1.733399747298311e-02, 5.299542368112821e-03, 3.795640795505779e+01, 3.088317179778953e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755695221294e-04, 1.733402235397633e-02, 5.299545901945036e-03, 3.795639790570019e+01, 3.088304011778116e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760755972782722e-04, 1.733403871114979e-02, 5.299583965588004e-03, 3.795640826966230e+01, 3.088282642676988e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757019274049e-04, 1.733411375793910e-02, 5.299823422422928e-03, 3.795645327858366e+01, 3.088248220752776e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760758628429848e-04, 1.733431414303406e-02, 5.300771913555530e-03, 3.795654857280528e+01, 3.088188305085272e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760756887669717e-04, 1.733461391560949e-02, 5.303136295953634e-03, 3.795659672341377e+01, 3.088070361611414e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760748701213297e-04, 1.733514864999089e-02, 5.307007052970511e-03, 3.795652682338137e+01, 3.087834993762775e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760745427069761e-04, 1.733740257030550e-02, 5.312468333091927e-03, 3.795682667664376e+01, 3.087381706728382e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760750446684244e-04, 1.734494992544572e-02, 5.321481768956186e-03, 3.795798771208923e+01, 3.086461992496081e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760737648916344e-04, 1.736381401993162e-02, 5.332187239161563e-03, 3.795979985779674e+01, 3.084638602391272e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760721867534366e-04, 1.739852711426631e-02, 5.329633339638248e-03, 3.796271893440621e+01, 3.081424440255163e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760724575115424e-04, 1.743116190141661e-02, 5.294853283213682e-03, 3.796496989837471e+01, 3.076585083106141e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760737138453146e-04, 1.742556239471331e-02, 5.241651008061574e-03, 3.796314997564055e+01, 3.070156845419321e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760734248848333e-04, 1.739535472439249e-02, 5.225317172137797e-03, 3.795962539192202e+01, 3.062387158104453e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760670622040576e-04, 1.739316466142430e-02, 5.238913126894487e-03, 3.795805584348026e+01, 3.053132453492003e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760663557034393e-04, 1.740069024573715e-02, 5.220401268262470e-03, 3.795790625523848e+01, 3.042444236912717e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760652472412504e-04, 1.739037063913294e-02, 5.213279974955081e-03, 3.795630214369392e+01, 3.029060966464093e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760582772228688e-04, 1.741390192994996e-02, 5.232783771067102e-03, 3.795751130164115e+01, 3.012154125271770e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760626775953789e-04, 1.746745186876407e-02, 5.215849133269414e-03, 3.796313327582430e+01, 2.990396469379684e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760304972516465e-04, 1.750782520352491e-02, 5.164641743703163e-03, 3.795688382669304e+01, 2.961687087851488e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760192584698872e-04, 1.748635255375557e-02, 5.072700773949233e-03, 3.794809025880257e+01, 2.925425358471194e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760161053441978e-04, 1.745239423432721e-02, 5.050883129464943e-03, 3.794445771074927e+01, 2.881515227346695e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.760315158139704e-04, 1.747818298048878e-02, 5.069113067549334e-03, 3.795085369913136e+01, 2.830435292985022e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.759979098778365e-04, 1.750544125422095e-02, 5.058264474892154e-03, 3.794464493071302e+01, 2.786695555263327e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.757927642214740e-04, 1.770635328753918e-02, 5.181931159137213e-03, 3.792048176317110e+01, 2.795057122145032e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.754378472231968e-04, 1.815243399804467e-02, 4.706097213415751e-03, 3.791660427493080e+01, 2.941483716204871e-01
28, 2.283886053947150e+00, 5.352202629500000e-08, 1.759441516077770e-04, 1.673372205295894e-02, 2.569404843253343e-03, 3.795388632522182e+01, 3.206657720242567e-01
29, 2.034528926141940e+00, 5.352202629500000e-08, 1.760810029095601e-04, 1.340233126550586e-02, 3.700684225862032e-03, 3.766991982807897e+01, 2.937232590477606e-01
30, 1.832911462718730e+00, 5.352202629500000e-08, 1.761744812488079e-04, 1.453800799830468e-02, 8.583886290963032e-03, 3.783522836376693e+01, 2.345198318964228e-01
31, 1.669893858549960e+00, 5.352202629500000e-08, 1.750977084514915e-04, 1.804533599358696e-02, 9.888655937528759e-03, 3.795131261300482e+01, 2.175040382126427e-01
32, 1.538086133079550e+00, 5.352202629500000e-08, 1.731372977727851e-04, 2.092229012085918e-02, 8.870678667053296e-03, 3.775270427789368e+01, 2.242397037317237e-01
33, 1.431513124708660e+00, 5.352202629500000e-08, 1.729161230533122e-04, 2.230059848871158e-02, 5.143948086434058e-03, 3.784351904352513e+01, 2.825500707605550e-01
34, 1.345343622331700e+00, 5.352202629500000e-08, 1.743616934786596e-04, 1.796314728425584e-02, -1.667166695115073e-04, 3.788796032960020e+01, 3.627639338960031e-01
35, 1.275671354903060e+00, 5.352202629500000e-08, 1.762630628570994e-04, 1.227795548279658e-02, -2.831831590293436e-04, 3.792237443748376e+01, 3.474400562296219e-01
36, 1.219337910763940e+00, 5.352202629500000e-08, 1.762479979536298e-04, 1.093510754340968e-02, 2.773804171616111e-03, 3.779251169681304e+01, 2.754215090179502e-01
37, 1.173789559236190e+00, 5.352202629500000e-08, 1.753252360749963e-04, 1.039270937577535e-02, 4.464158541406714e-03, 3.754165130919655e+01, 2.280930842489644e-01
38, 1.136961483861060e+00, 5.352202629500000e-08, 1.739890531270917e-04, 9.762196825927660e-03, 5.527140841076593e-03, 3.721787210424576e+01, 1.968311180884621e-01
39, 1.107184179296940e+00, 5.352202629500000e-08, 1.724156253535162e-04, 9.177625188887650e-03, 6.369420602008811e-03, 3.686187212636978e+01, 1.746234353951963e-01
40, 1.083107768621840e+00, 5.352202629500000e-08, 1.706431548577460e-04, 8.655551202596739e-03, 6.829868565871255e-03, 3.646387836321105e+01, 1.579399291597038e-01
41, 1.063640810162010e+00, 5.352202629500000e-08, 1.689110712482707e-04, 8.163554109719154e-03, 6.864083745603676e-03, 3.606920282631952e+01, 1.435854095744930e-01
42, 1.047900819812490e+00, 5.352202629500000e-08, 1.673274476569250e-04, 7.606756688322155e-03, 6.503341642361695e-03, 3.569805836747707e+01, 1.296716477396738e-01
