"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.759626195153703e-04, 1.736135696383065e-02, 5.296137761495091e-03, 3.792648698294285e+01, 3.086916949194531e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760728636861318e-04, 1.733487999772333e-02, 5.299465029292337e-03, 3.795560518436785e+01, 3.088282978176519e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760756291836383e-04, 1.733390549674294e-02, 5.299542503760912e-03, 3.795645071127309e+01, 3.088313487014752e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755774133711e-04, 1.733401763150517e-02, 5.299549096468028e-03, 3.795640177927694e+01, 3.088301627641419e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760756118144472e-04, 1.733404809456124e-02, 5.299609908232112e-03, 3.795641396769842e+01, 3.088278658611007e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757317794318e-04, 1.733414279868363e-02, 5.299946237903830e-03, 3.795646853638103e+01, 3.088241313484271e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760758494131641e-04, 1.733435881940864e-02, 5.301126220344084e-03, 3.795655920733023e+01, 3.088174141297534e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760755220294060e-04, 1.733466067863896e-02, 5.303744972447663e-03, 3.795657047472603e+01, 3.088039895746594e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760747322224872e-04, 1.733538918256500e-02, 5.307725962402587e-03, 3.795653474170858e+01, 3.087775484604666e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760747115421546e-04, 1.733840314726470e-02, 5.313553202504079e-03, 3.795700839030540e+01, 3.087261967585737e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760748484120489e-04, 1.734755097803304e-02, 5.323059285638936e-03, 3.795823192613351e+01, 3.086209829888252e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760731119746727e-04, 1.736909986978561e-02, 5.331880036814223e-03, 3.796013384154153e+01, 3.084188764683899e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760724235689165e-04, 1.740443515916630e-02, 5.323288582172095e-03, 3.796318280877509e+01, 3.080744836052995e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760735305604205e-04, 1.742950445881569e-02, 5.283068510259688e-03, 3.796474906765759e+01, 3.075821225416890e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760735171411769e-04, 1.741498491095037e-02, 5.236655757244941e-03, 3.796189348321367e+01, 3.069298473604437e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760703590737203e-04, 1.738867016117655e-02, 5.232173007720391e-03, 3.795827102144543e+01, 3.061807492505669e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760667963131005e-04, 1.739284095916543e-02, 5.240450873064736e-03, 3.795797820569134e+01, 3.052820427171256e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760733348157822e-04, 1.739923685653669e-02, 5.222471742646597e-03, 3.795968616100885e+01, 3.042354084739984e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760674822042050e-04, 1.740345081237295e-02, 5.226428054639591e-03, 3.795864637001668e+01, 3.029109770808642e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760609900222442e-04, 1.744261294614346e-02, 5.222300063540013e-03, 3.796060708546286e+01, 3.011986774001512e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760483545759558e-04, 1.746795734409253e-02, 5.171785132449925e-03, 3.795779603931629e+01, 2.989956426023237e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760285265517054e-04, 1.744773529886608e-02, 5.118111219643667e-03, 3.794868733617568e+01, 2.961749192397803e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760329099699317e-04, 1.743141639169126e-02, 5.103048810351705e-03, 3.794777597077386e+01, 2.926778896423173e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760324896387561e-04, 1.749213560485781e-02, 5.114924838243814e-03, 3.795446839224777e+01, 2.882135649359379e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.759860739803614e-04, 1.754282777246107e-02, 5.045796285158022e-03, 3.794428442309196e+01, 2.829027625870962e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.760195616424618e-04, 1.754668466325705e-02, 4.979904920210587e-03, 3.795262842538236e+01, 2.781742033621949e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.758650486727829e-04, 1.771149465716209e-02, 4.938153738354803e-03, 3.793683083171199e+01, 2.764126311911809e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.758562008810449e-04, 1.760787638478850e-02, 4.143847754727316e-03, 3.792619815712667e+01, 2.796015209649441e-01
