"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde"
0, 5.010000078023450e+02, 5.352202629500000e-08, 1.760755646909029e-04, 1.733402088920422e-02, 5.299542017745054e-03, 3.795639618592122e+01, 3.088329952696835e-01
1, 4.052709646366250e+02, 5.352202629500000e-08, 1.760755647157227e-04, 1.733402089299883e-02, 5.299542023960093e-03, 3.795639619122879e+01, 3.088325341003136e-01
2, 3.278693397908290e+02, 5.352202629500000e-08, 1.760755652097648e-04, 1.733402106212976e-02, 5.299542315500479e-03, 3.795639633510566e+01, 3.088316681136759e-01
3, 2.652863312215480e+02, 5.352202629500000e-08, 1.760755704989552e-04, 1.733402354715086e-02, 5.299547314287376e-03, 3.795639814865456e+01, 3.088302840584032e-01
4, 2.146849004455700e+02, 5.352202629500000e-08, 1.760756035015812e-04, 1.733404272175393e-02, 5.299595159482691e-03, 3.795641083117784e+01, 3.088280747840041e-01
5, 1.737711627536290e+02, 5.352202629500000e-08, 1.760757165072184e-04, 1.733412725538805e-02, 5.299878408970611e-03, 3.795646052437205e+01, 3.088244986070630e-01
6, 1.406903998926780e+02, 5.352202629500000e-08, 1.760758599048344e-04, 1.733433602090075e-02, 5.300936416149345e-03, 3.795655457054386e+01, 3.088181739189991e-01
7, 1.139429812211730e+02, 5.352202629500000e-08, 1.760756118319935e-04, 1.733463537978524e-02, 5.303428709068350e-03, 3.795658476711739e+01, 3.088056177510478e-01
8, 9.231638184086459e+01, 5.352202629500000e-08, 1.760747962265875e-04, 1.733525253607996e-02, 5.307354078569893e-03, 3.795652700863205e+01, 3.087807188416028e-01
9, 7.483021592330550e+01, 5.352202629500000e-08, 1.760746301350687e-04, 1.733785842038645e-02, 5.312974636546107e-03, 3.795691289789980e+01, 3.087326282964730e-01
10, 6.069179345940150e+01, 5.352202629500000e-08, 1.760749902056669e-04, 1.734615708343491e-02, 5.322250218489618e-03, 3.795811228123091e+01, 3.086344451764305e-01
11, 4.926018571243980e+01, 5.352202629500000e-08, 1.760734468614222e-04, 1.736630786785967e-02, 5.332153974968963e-03, 3.795995777454447e+01, 3.084425710637881e-01
12, 4.001717037504760e+01, 5.352202629500000e-08, 1.760722586473164e-04, 1.740147585495873e-02, 5.326749460304953e-03, 3.796294615833794e+01, 3.081096090734370e-01
13, 3.254373930407910e+01, 5.352202629500000e-08, 1.760729732202968e-04, 1.743067778970351e-02, 5.289119743460777e-03, 3.796489339415805e+01, 3.076211893875989e-01
14, 2.650110387248250e+01, 5.352202629500000e-08, 1.760739540396650e-04, 1.742061882920038e-02, 5.238814207554662e-03, 3.796264277896564e+01, 3.069731875894561e-01
15, 2.161533686500620e+01, 5.352202629500000e-08, 1.760722195275186e-04, 1.739188755744845e-02, 5.228539900120739e-03, 3.795900973904153e+01, 3.062101046681395e-01
16, 1.766495469789320e+01, 5.352202629500000e-08, 1.760657892513285e-04, 1.739244406753521e-02, 5.239866587054868e-03, 3.795763130841135e+01, 3.052933252015771e-01
17, 1.447087703467990e+01, 5.352202629500000e-08, 1.760686905204132e-04, 1.739890114790149e-02, 5.221278656863858e-03, 3.795837897045502e+01, 3.042385534051615e-01
18, 1.188830864330480e+01, 5.352202629500000e-08, 1.760662630072491e-04, 1.739539689927268e-02, 5.221772951152168e-03, 3.795736894209332e+01, 3.029084967285203e-01
19, 9.800175479560719e+00, 5.352202629500000e-08, 1.760548056263580e-04, 1.742740222069115e-02, 5.232560482658037e-03, 3.795767831622879e+01, 3.011961236152062e-01
20, 8.111817438747661e+00, 5.352202629500000e-08, 1.760479198534880e-04, 1.747026332919619e-02, 5.191396409677028e-03, 3.795848742594445e+01, 2.989986084160220e-01
21, 6.746697185177710e+00, 5.352202629500000e-08, 1.760546692846856e-04, 1.749092048555627e-02, 5.124366274246729e-03, 3.796117356733410e+01, 2.962133722162398e-01
22, 5.642930530440520e+00, 5.352202629500000e-08, 1.760717004539598e-04, 1.746375682763949e-02, 5.086341121291449e-03, 3.796120539277960e+01, 2.926701355744968e-01
23, 4.750481074120650e+00, 5.352202629500000e-08, 1.760192894325741e-04, 1.744185344832769e-02, 5.134685406418862e-03, 3.794593982968612e+01, 2.882305839004846e-01
24, 4.028891933275240e+00, 5.352202629500000e-08, 1.759778636172140e-04, 1.753100377167337e-02, 5.149998397222097e-03, 3.794395135863174e+01, 2.829474408882340e-01
25, 3.445451734506840e+00, 5.352202629500000e-08, 1.758977780692532e-04, 1.765078927735344e-02, 5.038173137533792e-03, 3.793378196833640e+01, 2.769291688996432e-01
26, 2.973711728635770e+00, 5.352202629500000e-08, 1.759706827515461e-04, 1.747580485399055e-02, 4.700481929801048e-03, 3.793319851049210e+01, 2.711794711080870e-01
27, 2.592286805209170e+00, 5.352202629500000e-08, 1.759735648781191e-04, 1.692225975247733e-02, 5.084095711440671e-03, 3.788363795595638e+01, 2.680455262803821e-01
